"H4[1-9]","QH98","Solomon Islands","OC"
"H40","RH29","Temotu Province","OC"
"HB[1-9]","JN35","Switzerland","EU"
"HB0","JN47","Liechtenstein","EU"
"H[C,D][0-7,9]","EI95","Ecuador","SA"
"H[C,D]8","EI48","Galapagos Islands","SA"
"HH","FK28","Haiti","NA"
"HI","FK47","Dominican Republic","NA"
"H[J,K][1-9]","FI29","Colombia","SA"
"HK0","EJ93","Malpelo Island","SA"
"HK0","EK92","San Andres and Providencia","NA"
"(6K|D[7-9]|HL|D[S,T])","PM34","South Korea","AS"
"(H[O-P]|H3)","EJ88","Panama","NA"
"H[Q-R]","EK54","Honduras","NA"
"(HS|E2)","NJ96","Thailand","AS"
"HV","JN61","Vatican City","EU"
"(HZ|7Z)","KL76","Saudi Arabia","AS"
"H[A,G]","JN76","Hungary","EU"
"I[S,M]","JM48","Sardinia","EU"
"I","JN51","Italy","EU"
"J2","LK00","Djibouti","AF"
"J3","FK91","Grenada","NA"
"J5","IK11","Guinea-Bissau","AF"
"J6","FK93","Saint Lucia","NA"
"J7","FK95","Dominica","NA"
"J8","FK92","Saint Vincent and the Grenadines","NA"
"JD1","QL64","Minami Torishima","AS"
"JD1","QL04","Ogasawara","AS"
"J[T-V]","MN48","Mongolia","AS"
"JW","JQ58","Svalbard","EU"
"JX","IQ50","Jan Mayen","EU"
"JY","KL79","Jordan","AS"
"(J[A-S]|7[J-N]|8[J-N])","PM85","Japan","AS"
"KG4","FK29","Guantanamo Bay","NA"
"KH0","QK24","Mariana Islands","OC"
"KH1","AJ10","Baker Howland Islands","OC"
"KH2","QK23","Guam","OC"
"KH3","AK56","Johnston Island","OC"
"KH4","AL18","Midway Island","OC"
"KH5","AJ85","Palmyra & Jarvis Islands","OC"
"KH6","BL01","Hawaii","OC"
"KH7","AL08","Kure Island","OC"
"KH8","AH45","American Samoa","OC"
"KH8SI","AH48","Swains Island","OC"
"KH9","RK39","Wake Island","OC"
"[A,K]L7","AO01","Alaska","NA"
"KP1","FK28","Navassa Island","NA"
"KP2","FK77","Virgin Islands","NA"
"(KP[3-4]|NP[3-4]|WP[3-4])","FK67","Puerto Rico","NA"
"KP5","FK68","Desecheo Island","NA"
"L[A-N]","JO28","Norway","EU"
"L[O-W]","FD38","Argentina","SA"
"L[2-9]","FD38","Argentina","SA"
"LX","JN29","Luxembourg","EU"
"LY","KO05","Lithuania","EU"
"LZ","KN11","Bulgaria","EU"
"O[A-C]","EI93","Peru","SA"
"OD","KM73","Lebanon","AS"
"(OE|4Y)","JN46","Austria","EU"
"(O[F,G,I]|OH[1-9])","KP00","Finland","EU"
"OH0","KP00","Aland Islands","EU"
"OJ0","JP90","Market Reef","EU"
"O[K-L]","JN68","Czech Republic","EU"
"OM","JN87","Slovak Republic","EU"
"O[N-T]","JN29","Belgium","EU"
"OX","FQ37","Greenland","NA"
"OY","IP61","Faroe Islands","EU"
"(OZ|OV|OU|5[P,Q])","JO44","Denmark","EU"
"P2","QH49","Papua New Guinea","OC"
"P4","FK42","Aruba","SA"
"P5","PM27","North Korea","AS"
"P[A-I]","JO11","Netherlands","EU"
"PJ2","FK52","Curacao","SA"
"PJ4","FK52","Bonaire","SA"
"PJ[5,6]","FK87","Saba & St. Eustatius","NA"
"PJ7","FK88","Sint Maarten","NA"
"P[P-Y][1-9]","FH49","Brazil","SA"
"P[P-Y]0","HI36","Fernando de Noronha","SA"
"P[P-Y]0","HJ50","St. Peter and St. Paul Rocks","SA"
"P[P-Y]0","HG49","Trindade & Martim Vaz Islands","SA"
"ZW","JO11","Brazil","SA"
"PZ","GJ04","Suriname","SA"
"R1FJ","LQ59","Franz Josef Land","EU"
"S0","IL10","Western Sahara","AF"
"S2","NL41","Bangladesh","AS"
"(S5|YU3)","JN65","Slovenia","EU"
"S7","LI30","Seychelles","AF"
"S9","JI39","Sao Tome & Principe","AF"
"S[A-M]|8S","JO57","Sweden","EU"
"ST","KJ18","Sudan","AF"
"SU","KL22","Egypt","AF"
"(S[N-R]|3Z|HF[1-9])","JN99","Poland","EU"
"SV/A","KN20","Mount Athos","EU"
"(S[V-Y]5|J49)","KM26","Dodecanese","EU"
"(S[V-Y]9|J45)","KM15","Crete","EU"
"S[V-Z]","KM06","Greece","EU"
"T2","RH87","Tuvalu","OC"
"T30","RI78","Western Kiribati","OC"
"T31","AI25","Central Kiribati","OC"
"T32","AJ94","Eastern Kiribati","OC"
"T33","RI49","Banaba Island","OC"
"T5","LI08","Somalia","AF"
"T7","JN63","San Marino","EU"
"T8","PJ54","Palau","OC"
"(YM|T[A-C])","KM36","Turkey","EU"
"TF","HP74","Iceland","EU"
"T[G,D]","EK43","Guatemala","NA"
"T[I,E]","EJ79","Costa Rica","NA"
"TI9","EJ65","Cocos Island","OC"
"TJ","JJ41","Cameroon","AF"
"TK","JN41","Corsica","EU"
"TL","JJ73","Central African Republic","AF"
"TN","JI55","Congo","AF"
"TR","JI48","Gabon","AF"
"TT","JJ77","Chad","AF"
"TU","IJ56","Ivory Coast","AF"
"TY","JJ06","Benin","AF"
"TZ","IK42","Mali","AF"
"(U[A-I][1,3-7]|U[1,3-7]|R[A-Z][1,3-8]|R[0,1,3-7]|U[A-I]2[^F,^K]|U2[^F,^K]|R[A-Z]2[^F,^K]|R2[^F,^K])","KN84","European Russia","EU"
"(U[A-I]2[F,K]|U2[F,K]|R[A-Z]2[F,K]|R2[F,K])","JO94","Kaliningrad","EU"
"(U[A-I][8,9,0]|U[8,9,0]|R[A-Z][8,9,0]|R[8,9,0])","LO49","Asiatic Russia","AS"
"U[J-M]","LN81","Uzbekistan","AS"
"U[N-Q]","LN37","Kazakhstan","AS"
"(U[R-Z]|E[M-O])","KO10","Ukraine","EU"
"V2","FK97","Antigua and Barbuda","NA"
"V3","EK55","Belize","NA"
"V4","FK87","St. Kitts and Nevis","NA"
"V5","JG68","Namibia","AF"
"V6","PJ88","Micronesia","OC"
"V7","RJ28","Marshall Islands","OC"
"V8","OJ74","Brunei","AS"
"VK0","MD66","Macquarie Island","OC"
"VK0","QD95","Heard Island","OC"
"VK9C","NH87","Cocos (Keeling) Islands","OC"
"VK9L","QF98","Lord Howe Island","OC"
"VK9M","QH72","Mellish Reef","OC"
"VK9N","RG30","Norfolk Island","OC"
"VK9W","QG68","Willis Island","OC"
"VK9X","OH29","Christmas Island","OC"
"VP2E","FK88","Anguilla","NA"
"VP2M","FK86","Montserrat","NA"
"VP2V","FK78","British Virgin Islands","NA"
"VP5","FL31","Turks and Caicos Islands","NA"
"VP6","CG44","Pitcairn Island","OC"
"VP6","CG75","Ducie Island","OC"
"VP8","FD97","Falkland Islands","SA"
"(VP8|LU)","HD05","South Georgia Island","SA"
"(VP8|LU)","GC69","South Orkney Islands","SA"
"(VP8|LU)","HD60","South Sandwich Islands","SA"
"(VP8|LU|CE9|HF0|4K1)","FC86","Antarctica","AN"
"VP9","FM72","Bermuda","NA"
"VQ9","MI53","Chagos Islands","AF"
"(VS6|VR2)","OL72","Hong Kong","AS"
"VU|AT","MJ88","India","AS"
"VU","NJ66","Andaman and Nicobar Islands","AS"
"VU","MK52","Lakshadweep Islands","AS"
"(V[A-G,O,X-Y]|X[J-O])","FN63","Canada","NA"
"(VK|AX)","QF44","Australia","OC"
"X[A-I][0-3,5-9]","DK78","Mexico","NA"
"X[A-I]4","DK28","Revillagigedo","NA"
"XT","IJ79","Burkina Faso","AF"
"XU","OK10","Cambodia","AS"
"XW","OK07","Laos","AS"
"XX9","OL61","Macao","AS"
"X[Y-Z]","NK69","Myanmar","AS"
"YA","ML09","Afghanistan","AS"
"Y[B-H]|7C","NI89","Indonesia","AS"
"YI","KM92","Iraq","AS"
"YJ","RH33","Vanuatu","OC"
"YK","KM75","Syria","AS"
"YL","KO06","Latvia","EU"
"YN","EK61","Nicaragua","NA"
"Y[O-R]","KN04","Romania","EU"
"(YS|HU)","EK43","El Salvador","NA"
"Y[T-U,Z]","JN93","Serbia","EU"
"YV0","FK85","Aves Island","SA"
"Y[V-Y]","FJ37","Venezuela","SA"
"Z2","KG39","Zimbabwe","AF"
"Z3","KN00","North Macedonia","EU"
"Z6","KN01","Kosovo","EU"
"Z8","KJ27","South Sudan","AF"
"ZA","JM99","Albania","EU"
"ZB2","IM76","Gibraltar","EU"
"ZC4","KM64","UK Sovereign Base Areas on Cyprus","EU"
"ZD7","IM73","St. Helena","AF"
"ZD8","II22","Ascension Island","AF"
"ZD9","IE59","Tristan da Cunha & Gough Islands","AF"
"ZF","EK99","Cayman Islands","NA"
"ZK3","AI31","Tokelau Islands","OC"
"ZL7","AE15","Chatham Islands","OC"
"ZL8","AF08","Kermadec Islands","OC"
"ZL9","AB80","Auckland & Campbell Islands","OC"
"ZP","FG87","Paraguay","SA"
"Z[R-U]","JF86","South Africa","AF"
"Z[L-M]","RF64","New Zealand","OC"
"ZS8","KE83","Prince Edward & Marion Islands","AF"
"(K|W|N|A[A-K])","DM57","United States of America","NA"
