"E6","AH50","Niue"
"E7","JN83","Bosnia and Herzegovina"
"(E[A-H][0-5,7]|A[M,N,O][0-5,7])","IM66","Spain"
"(E[A-H]6|A[M,N,O]6)","JM08","Balearic Islands"
"(E[A-H]8|A[M,N,O]8)","IL07","Canary Islands"
"(E[A-H]9|A[M,N,O]9)","IM75","Ceuta and Melilla"
"E[I-J]","IO51","Ireland"
"EK","LM29","Armenia"
"EL","IJ46","Liberia"
"E[P-Q]","LL58","Iran"
"ER","KN37","Moldova"
"ES","KO17","Estonia"
"ET","KJ67","Ethiopia"
"E[U,V,W]","KO11","Belarus"
"EX","MM49","Kyrgyzstan"
"EY","MM37","Tajikistan"
"EZ","LM67","Turkmenistan"
"FG","FK95","Guadeloupe"
"FJ","FK87","Saint Barthelemy"
"FS","FK88","Saint Martin"
"FH","LH26","Mayotte"
"FK","RG19","New Caledonia"
"FM","FK94","Martinique"
"FO","Bg28","French Polynesia"
"FO","DK50","Austral Islands"
"FO","BG89","Marquesas Islands"
"FO","BI91","Clipperton Island"
"FP","GN16","Saint Pierre and Miquelon"
"FR/G","LH38","Glorioso Islands"
"FR/J, E","LG07","Juan de Nova, Europa"
"(FR|TO)","LG78","Reunion Island"
"FR/T","LH74","Tromelin Island"
"TX0","LH13","Chesterfield Islands"
"FT8W","LE53","Crozet Island"
"FT8X","ME40","Kerguelen Islands"
"FT8Z","MF81","Amsterdam & St. Paul Islands"
"FW","AH16","Wallis and Futuna Islands"
"FY","Gj22","French Guiana"
"(F|F[0-9]|F[B,D,E,F,U,V]|T[H,M,Q,V,W,X]|H[W,X,Y])","IN77","France"
"(G[0-9,A,B,F,X]|M|2E)","IO70","England"
"(2D|G[D,T]|M[D,T])","IO74","Isle of Man"
"G[I,N]","IO54","Northern Ireland"
"G[J,H]","IN89","Jersey"
"(G[M,S]|2M)","IO65","Scotland"
"G[U,P]","IN89","Guernsey"
"G[W,C]|2W","IO71","Wales"
"H4[1-9]","QH98","Solomon Islands"
"H40","RH29","Temotu Province"
"HB[1-9]","JN35","Switzerland"
"HB0","JN47","Liechtenstein"
"H[C,D][0-7,9]","EI95","Ecuador"
"H[C,D]8","EI48","Galapagos Islands"
"HH","FK28","Haiti"
"HI","FK47","Dominican Republic"
"H[J,K][1-9]","FI29","Colombia"
"HK0","EJ93","Malpelo Island"
"HK0","EK92","San Andres and Providencia"
"(6K|D[7-9]|HL|D[S,T])","PM34","South Korea"
"(H[O-P]|H3)","EJ88","Panama"
"H[Q-R]","EK54","Honduras"
"(HS|E2)","NJ96","Thailand"
"HV","JN61","Vatican City"
"(HZ|7Z)","KL76","Saudi Arabia"
"H[A,G]","JN76","Hungary"
"I[S,M]","JM48","Sardinia"
"I","JN51","Italy"
"J2","LK00","Djibouti"
"J3","FK91","Grenada"
"J5","IK11","Guinea-Bissau"
"J6","FK93","Saint Lucia"
"J7","FK95","Dominica"
"J8","FK92","Saint Vincent and the Grenadines"
"JD1","QL64","Minami Torishima"
"JD1","QL04","Ogasawara"
"J[T-V]","MN48","Mongolia"
"JW","JQ58","Svalbard"
"JX","IQ50","Jan Mayen"
"JY","KL79","Jordan"
"(J[A-S]|7[J-N]|8[J-N])","PM85","Japan"
"KG4","FK29","Guantanamo Bay"
"KH0","QK24","Mariana Islands"
"KH1","AJ10","Baker Howland Islands"
"KH2","QK23","Guam"
"KH3","AK56","Johnston Island"
"KH4","AL18","Midway Island"
"KH5","AJ85","Palmyra & Jarvis Islands"
"KH6","BL01","Hawaii"
"KH7","AL08","Kure Island"
"KH8","AH45","American Samoa"
"KH8SI","AH48","Swains Island"
"KH9","RK39","Wake Island"
"[A,K]L7","AO01","Alaska"
"KP1","FK28","Navassa Island"
"KP2","FK77","Virgin Islands"
"(KP[3-4]|NP[3-4]|WP[3-4])","FK67","Puerto Rico"
"KP5","FK68","Desecheo Island"
"L[A-N]","JO28","Norway"
"L[O-W]","FD38","Argentina"
"LX","JN29","Luxembourg"
"LY","KO05","Lithuania"
"LZ","KN11","Bulgaria"
"O[A-C]","EI93","Peru"
"OD","KM73","Lebanon"
"OE","JN46","Austria"
"(O[F,G,I]|OH[1-9])","KP00","Finland"
"OH0","KP00","Aland Islands"
"OJ0","JP90","Market Reef"
"O[K-L]","JN68","Czech Republic"
"OM","JN87","Slovak Republic"
"O[N-T]","JN29","Belgium"
"OX","FQ37","Greenland"
"OY","IP61","Faroe Islands"
"(OZ|OV|OU|5[P,Q])","JO44","Denmark"
"P2","QH49","Papua New Guinea"
"P4","FK42","Aruba"
"P5","PM27","North Korea"
"P[A-I]","JO11","Netherlands"
"PJ2","FK52","Curacao"
"PJ4","FK52","Bonaire"
"PJ[5,6]","FK87","Saba & St. Eustatius"
"PJ7","FK88","Sint Maarten"
"P[P-Y][1-9]","FH49","Brazil"
"P[P-Y]0","HI36","Fernando de Noronha"
"P[P-Y]0","HJ50","St. Peter and St. Paul Rocks"
"P[P-Y]0","HG49","Trindade & Martim Vaz Islands"
"ZW","JO11","Brazil"
"PZ","GJ04","Suriname"
"R1FJ","LQ59","Franz Josef Land"
"S0","IL10","Western Sahara"
"S2","NL41","Bangladesh"
"(S5|YU3)","JN65","Slovenia"
"S7","LI30","Seychelles"
"S9","JI39","Sao Tome & Principe"
"S[A-M]|8S","JO57","Sweden"
"ST","KJ18","Sudan"
"SU","KL22","Egypt"
"(S[N-R]|3Z|HF[1-9])","JN99","Poland"
"SV/A","KN20","Mount Athos"
"(S[V-Y]5|J49)","KM26","Dodecanese"
"(S[V-Y]9|J45)","KM15","Crete"
"S[V-Z]","KM06","Greece"
"T2","RH87","Tuvalu"
"T30","RI78","Western Kiribati"
"T31","AI25","Central Kiribati"
"T32","AJ94","Eastern Kiribati"
"T33","RI49","Banaba Island"
"T5","LI08","Somalia"
"T7","JN63","San Marino"
"T8","PJ54","Palau"
"(YM|T[A-C])","KM36","Turkey"
"TF","HP74","Iceland"
"T[G,D]","EK43","Guatemala"
"T[I,E]","EJ79","Costa Rica"
"TI9","EJ65","Cocos Island"
"TJ","JJ41","Cameroon"
"TK","JN41","Corsica"
"TL","JJ73","Central African Republic"
"TN","JI55","Congo"
"TR","JI48","Gabon"
"TT","JJ77","Chad"
"TU","IJ56","Ivory Coast"
"TY","JJ06","Benin"
"TZ","IK42","Mali"
"(U[A-I][1,3-7]|U[1,3-7]|R[A-Z][1,3-7]|R[1,3-7]|U[A-I]2[^F,^K]|U2[^F,^K]|R[A-Z]2[^F,^K]|R2[^F,^K])","KN84","European Russia"
"(U[A-I]2[F,K]|U2[F,K]|R[A-Z]2[F,K]|R2[F,K])","JO94","Kaliningrad"
"(U[A-I][8,9,0]|U[8,9,0]|R[A-Z][8,9,0]|R[8,9,0])","LO49","Asiatic Russia"
"U[J-M]","LN81","Uzbekistan"
"U[N-Q]","LN37","Kazakhstan"
"(U[R-Z]|E[M-O])","KO10","Ukraine"
"V2","FK97","Antigua and Barbuda"
"V3","EK55","Belize"
"V4","FK87","St. Kitts and Nevis"
"V5","JG68","Namibia"
"V6","PJ88","Micronesia"
"V7","RJ28","Marshall Islands"
"V8","OJ74","Brunei"
"VK0","MD66","Macquarie Island"
"VK0","QD95","Heard Island"
"VK9C","NH87","Cocos (Keeling) Islands"
"VK9L","QF98","Lord Howe Island"
"VK9M","QH72","Mellish Reef"
"VK9N","RG30","Norfolk Island"
"VK9W","QG68","Willis Island"
"VK9X","OH29","Christmas Island"
"VP2E","FK88","Anguilla"
"VP2M","FK86","Montserrat"
"VP2V","FK78","British Virgin Islands"
"VP5","FL31","Turks and Caicos Islands"
"VP6","CG44","Pitcairn Island"
"VP6","CG75","Ducie Island"
"VP8","FD97","Falkland Islands"
"(VP8|LU)","HD05","South Georgia Island"
"(VP8|LU)","GC69","South Orkney Islands"
"(VP8|LU)","HD60","South Sandwich Islands"
"(VP8|LU|CE9|HF0|4K1)","FC86","Antarctica"
"VP9","FM72","Bermuda"
"VQ9","MI53","Chagos Islands"
"(VS6|VR2)","OL72","Hong Kong"
"VU|AT","MJ88","India"
"VU","NJ66","Andaman and Nicobar Islands"
"VU","MK52","Lakshadweep Islands"
"(V[A-G,O,X-Y]|X[J-O])","FN63","Canada"
"(VK|AX)","QF44","Australia"
"X[A-I][0-3,5-9]","DK78","Mexico"
"X[A-I]4","DK28","Revillagigedo"
"XT","IJ79","Burkina Faso"
"XU","OK10","Cambodia"
"XW","OK07","Laos"
"XX9","OL61","Macao"
"X[Y-Z]","NK69","Myanmar"
"YA","ML09","Afghanistan"
"Y[B-H]|7C","NI89","Indonesia"
"YI","KM92","Iraq"
"YJ","RH33","Vanuatu"
"YK","KM75","Syria"
"YL","KO06","Latvia"
"YN","EK61","Nicaragua"
"Y[O-R]","KN04","Romania"
"(YS|HU)","EK43","El Salvador"
"Y[T-U,Z]","JN93","Serbia"
"YV0","FK85","Aves Island"
"Y[V-Y]","FJ37","Venezuela"
"Z2","KG39","Zimbabwe"
"Z3","KN00","North Macedonia"
"Z6","KN01","Kosovo"
"Z8","KJ27","South Sudan"
"ZA","JM99","Albania"
"ZB2","IM76","Gibraltar"
"ZC4","KM64","UK Sovereign Base Areas on Cyprus"
"ZD7","IM73","St. Helena"
"ZD8","II22","Ascension Island"
"ZD9","IE59","Tristan da Cunha & Gough Islands"
"ZF","EK99","Cayman Islands"
"ZK3","AI31","Tokelau Islands"
"ZL7","AE15","Chatham Islands"
"ZL8","AF08","Kermadec Islands"
"ZL9","AB80","Auckland & Campbell Islands"
"ZP","FG87","Paraguay"
"Z[R-U]","JF86","South Africa"
"Z[L-M]","RF64","New Zealand"
"ZS8","KE83","Prince Edward & Marion Islands"
"(K|W|N|A[A-K])","DM57","United States of America"
